te,max
1035,28.2
1036,28.4
1037,28.4
1038,26.6
1039,26.8
1040,27.9
1041,27.8
1042,27.7
1043,27.4
1044,27.2
1045,27.3
1046,27.3
1047,25.1
1048,26.5
1049,27.1
1050,27.3
1051,25.9
1052,26.1
1053,26.3
1054,23.9
1055,23.1
1056,23
1057,22.9
1058,24.6
1059,25.9
1060,25.6
1061,25.9
1062,25.6
1063,25.7
1064,25.9
1065,26.1
1066,25.6
1067,26.2
1068,27.5
1069,23.1
1070,23.6
1071,27.3
1072,26.4
1073,23.2
1074,25.1
1075,24.4
1076,25.6
1077,25.9
1078,25.4
1079,24.1
1080,24.8
1081,25.2
1082,25.6
1083,25.9
1084,24.7
1085,25.7
1086,24.3
1087,24.4
1088,24.6
1089,24.1
1090,22
1091,23.3
1092,23.8
1093,24.6
1094,24.4
1095,24.2
1096,23.1
1097,24.1
1098,23.6
1099,22.6
1100,25
1101,25.9
1102,25.9
1103,25.8
1104,24.1
1105,24.2
1106,25.4
1107,26.3
1108,26.9
1109,26
1110,25.8
1111,26.4
1112,27
1113,26.8
1114,26.9
1115,27.4
1116,26.1
1117,23.8
1118,22.5
1119,21.6
1120,20.2
1121,20.8
1122,22.4
1123,21.4
1124,24.7
1125,24.5
1126,24.1
1127,25.5
1128,25.7
1129,24.4
1130,23.8
1131,20.8
1132,22.4
1133,22.5
1134,25.4
1135,26
1136,26.1
1137,26.1
1138,26.4
1139,26.6
1140,26.8
1141,27
1142,27.2
1143,26.9
1144,25.5
1145,26.4
1146,26.6
1147,28
1148,29.3
1149,29.9
1150,29.8
1151,29.6
1152,29.6
1153,28.1
1154,28.4
1155,28.8
1156,29.4
1157,29
1158,29.1
1159,27.2
1160,28
1161,28.1
1162,28.5
1163,29.2
1164,28.9
1165,27.1
1166,27.3
1167,28.1
1168,28.2
1169,28.9
1170,29.6
1171,29.9
1172,29.6
1173,28.8
1174,30.5
1175,30.6
1176,30.4
1177,28.9
1178,29.1
1179,28.3
1180,27.3
1181,27.7
1182,28.8
1183,29
1184,29.2
1185,29.5
1186,29.8
1187,29.6
1188,27
1189,28.1
1190,28.9
1191,27
1192,28.7
1193,28.7
1194,28.7
1195,28
1196,27.4
1197,28.4
1198,28.7
1199,29.1
1200,27.3
1201,28.7
1202,29.9
1203,29.9
1204,31.1
1205,30.8
1206,30.5
1207,30.9
1208,31.4
1209,32
1210,31.5
1211,32.1
1212,31.3
1213,31.3
1214,30
1215,30.1
1216,30.3
1217,31.1
1218,31.4
1219,32
1220,31.9
1221,31.6
1222,31
1223,31.6
1224,30.6
1225,30.7
1226,31.8
1227,31.6
1228,30.4
1229,30.9
1230,30.7
1231,30.9
1232,31.1
1233,31
1234,31.1
1235,31.4
1236,30.9
1237,30.9
1238,30.7
1239,30.9
1240,31
1241,31.1
1242,29.2
1243,29.3
1244,30.1
1245,30.6
1246,31.3
1247,30.1
1248,30.9
1249,32.3
1250,32.6
1251,32.9
1252,33
1253,31.9
1254,31.7
1255,32.1
1256,30.4
1257,29.1
1258,30.2
1259,30.6
1260,30.9
1261,30.4
1262,30.4
1263,29.1
1264,30.1
1265,30.4
1266,29.1
1267,28.6
1268,26.1
1269,27.1
1270,29.1
1271,29.4
1272,29.5
1273,30
1274,28.2
1275,28.9
1276,28.5
1277,28.9
1278,28.8
1279,28.8
1280,29.1
1281,29.1
1282,28.4
1283,28.4
1284,29.6
1285,30.1
1286,30
1287,30.3
1288,30.9
1289,29.1
1290,28.5
1291,29.6
1292,30.3
1293,30.3
1294,28.3
1295,24.7
1296,25.1
1297,27.6
1298,28.6
1299,28.8
1300,27.2
1301,27.7
1302,27.7
1303,28.2
1304,28.4
1305,28.5
1306,27.4
1307,27.7
1308,27.9
1309,28
1310,29.1
1311,29.3
1312,29.1
1313,28.9
1314,28
1315,27.8
1316,27.7
1317,28.5
1318,28.8
1319,28.3
1320,28.3
1321,29.1
1322,28.9
1323,28.9
1324,28.4
1325,28.1
1326,28.8
1327,28.6
1328,28.1
1329,28.4
1330,25.6
1331,22.5
1332,25.7
1333,27.3
1334,27.5
1335,27.5
1336,27.6
1337,27.1
1338,27
1339,26.6
1340,25.7
1341,25.7
1342,23.4
1343,26.3
1344,27.7
1345,28.5
1346,28.9
1347,28
1348,28.1
1349,27.6
1350,27.6
1351,26.5
1352,27.8
1353,28
1354,28.5
1355,28.5
1356,28.6
1357,28.9
1358,28.6
1359,28.4
1360,29.1
1361,29.4
1362,29.6
1363,29.7
1364,29.6
1365,29.2
1366,29.2
1367,28.4
1368,28.4
1369,28.4
1370,28.6
1371,29.4
1372,29.5
1373,28.8
1374,29.1
1375,28.9
1376,29.2
1377,28.6
1378,28.7
1379,27
1380,28.4
1381,28.4
1382,28.6
1383,29.6
1384,29.5
1385,29.2
1386,29.5
1387,29.6
1388,29.3
1389,26
1390,26.5
1391,28
1392,25
1393,23.3
1394,23.9
1395,23.9
1396,24.9
1397,23.1
1398,24.4
1399,26.1
1400,26.7
1401,27.6
1402,26.4
1403,27.1
1404,26.9
1405,27.4
1406,27.4
1407,26
1408,26.6
1409,27.4
1410,28.4
1411,28.1
1412,28.1
1413,27.2
1414,27.9
1415,27.6
1416,25.8
1417,26.6
1418,26.6
1419,25.9
1420,26.6
1421,25.4
1422,26.8
1423,24.6
1424,24.9
1425,24.9
1426,26.4
1427,26.6
1428,27
1429,27.2
1430,27.3
1431,27.3
1432,27.3
1433,26.3
1434,25.9
1435,25.4
1436,24.4
1437,24.6
1438,24.9
1439,26.5
1440,26.6
1441,26.6
1442,26.8
1443,27
1444,26.6
1445,24.4
1446,25.3
1447,25.1
1448,27.3
1449,27.2
1450,27.8
1451,28.3
1452,25.8
1453,25.7
1454,25.7
1455,25.7
1456,25.7
1457,25.7
1458,24.4
1459,24.2
1460,23.1
1461,23.1
1462,23.8
1463,22.4
1464,22
1465,24.5
1466,25.9
1467,26.6
1468,26.9
1469,27.3
1470,26.6
1471,26.1
1472,25.7
1473,25.7
1474,25
1475,24.5
1476,23.1
1477,24.5
1478,24.5
1479,24.1
1480,22.6
1481,22.7
1482,23.9
1483,26.3
1484,26.8
1485,28.1
1486,27.9
1487,27.9
1488,26.8
1489,27.1
1490,27.4
1491,26.9
1492,26.5
1493,26.5
1494,26.2
1495,27
1496,27.3
1497,25.5
1498,25.9
1499,26.4
1500,26.1
1501,26.5
1502,26.3
1503,25.7
1504,25.9
1505,26.1
1506,26.3
1507,27
1508,27.6
1509,27.2
1510,28
1511,28.4
1512,27.9
1513,27.8
1514,28
1515,28.1
1516,29.1
1517,29.8
1518,28.8
1519,26.1
1520,26.6
1521,27.2
1522,26.5
1523,27
1524,26.7
1525,25.6
1526,27.8
1527,27.9
1528,25.4
1529,24.9
1530,25.6
1531,26
1532,26.9
1533,27.5
1534,28.2
1535,27.9
1536,27.9
1537,28.1
1538,28.6
1539,28.6
1540,26.5
1541,26.5
1542,26.5
1543,26.5
1544,26.5
1545,27.2
1546,27.3
1547,27.8
1548,29.5
1549,30
1550,30
1551,30
1552,30.4
1553,31.1
1554,31.6
1555,30.6
1556,31.3
1557,31.3
1558,31.3
1559,31.3
1560,30.8
1561,31.5
1562,31.2
1563,31.2
1564,31.2
1565,31.2
1566,25.7
1567,25.7
1568,29
1569,30.1
1570,30.2
1571,30.2
1572,30.2
1573,32.1
1574,33.3
1575,33.3
1576,33.3
1577,32.4
1578,32.4
1579,32.4
1580,31
1581,28.5
1582,30.1
1583,29.6
1584,30.5
1585,30.5
1586,30.5
1587,31.1
1588,31.2
1589,31.9
1590,31.9
1591,31.9
1592,31.9
1593,33.4
1594,33.1
1595,32.3
1596,32
1597,30.6
1598,29.4
1599,29.4
1600,29.4
1601,30.3
1602,30
1603,29.3
1604,29.4
1605,29.9
1606,29.9
1607,29.9
1608,31.4
1609,31.2
1610,31.1
1611,30.9
1612,30
1613,30
1614,30
1615,32.1
1616,31.7
1617,31.8
1618,31.9
1619,31.8
1620,31.8
1621,31.8
1622,26.6
1623,25.6
1624,23.5
1625,25.3
1626,27.4
1627,27.4
1628,27.4
1629,29.4
1630,29.6
1631,29.8
1632,30.7
1633,30.6
1634,30.6
1635,30.6
1636,28.1
1637,29.1
1638,29.3
1639,29.4
1640,29.9
1641,29.5
1642,29.6
1643,27.8
1644,27.6
1645,25.7
1646,26.5
1647,26.9
1648,26.4
1649,26.6
1650,26.1
1651,25.6
1652,25.1
1653,24.6
1654,24.6
1655,25.5
1656,27.2
1657,28.5
1658,28.8
1659,29.1
1660,29.3
1661,28.9
1662,29.1
1663,29
1664,27.9
1665,28.7
1666,28.4
1667,28.2
1668,28.2
1669,28
1670,27.6
1671,28.3
1672,28.7
1673,28.7
1674,28.3
1675,29.1
1676,28
1677,28.5
1678,28.1
1679,28.1
1680,28.4
1681,28.5
1682,28.1
1683,28.5
1684,29.1
1685,29.7
1686,29.6
1687,28.6
1688,29.6
1689,29.5
1690,29.6
1691,29.5
1692,28.6
1693,27.1
1694,27
1695,27.1
1696,27.8
1697,28
1698,28.1
1699,27.7
1700,27.1
1701,26.7
1702,27.7
1703,27.5
1704,27.8
1705,27.9
1706,27.6
1707,28.6
1708,29
1709,29.5
1710,28.8
1711,28.3
1712,29.3
1713,26
1714,26.3
1715,26.5
1716,26.9
1717,28.1
1718,27.2
1719,27.4
1720,24.6
1721,23.7
1722,25
1723,26.6
1724,26.9
1725,27.6
1726,26.6
1727,26.4
1728,26
1729,26.7
1730,26.5
1731,24.6
1732,25.4
1733,27.4
1734,27.4
1735,27.2
1736,27.1
1737,26.9
1738,26.6
1739,27.2
1740,27.6
1741,27.1
1742,27.2
1743,27.4
1744,26.6
1745,26.9
1746,26.9
1747,27.2
1748,27.4
1749,28.2
1750,27.8
1751,27.6
1752,26.9
1753,27.1
1754,25.5
1755,27.1
1756,28
1757,28.5
1758,27.9
1759,27.6
1760,27.4
1761,27.4
1762,27.5
1763,24.6
1764,25.3
1765,25.7
1766,26.3
1767,26.8
1768,25.6
1769,26.2
1770,26.8
1771,27.6
1772,27.4
1773,27.6
1774,26.8
1775,27.1
1776,26.8
1777,26.7
1778,27.6
1779,27.1
1780,26.7
1781,26.1
1782,25.9
1783,25.5
1784,26.2
1785,24.9
1786,24.6
1787,24.4
1788,23.8
1789,24.5
1790,24.9
1791,25.9
1792,26.4
1793,27.2
1794,28.1
1795,28.1
1796,25.1
1797,25.1
1798,25.4
1799,25.2
1800,25.4
1801,25.7
1802,25.4
1803,26.4
1804,26.4
1805,26.2
1806,23.9
1807,24
1808,24.9
1809,25.5
1810,25.9
1811,26.4
1812,27.2
1813,26.5
