iter	Passed	Remaining
1575	14581	77938
1576	14587	77912
1577	14596	77905
1578	14613	77936
1579	14623	77929
1580	14630	77910
1581	14645	77929
1582	14653	77913
1583	14664	77912
1584	14671	77894
1585	14684	77905
1586	14695	77905
1587	14703	77886
1588	14712	77874
1589	14718	77849
1590	14725	77829
1591	14732	77808
1592	14738	77781
1593	14744	77755
1594	14751	77736
1595	14764	77746
1596	14770	77720
1597	14780	77714
1598	14792	77718
1599	14798	77694
1600	14804	77666
1601	14811	77644
1602	14819	77631
1603	14840	77681
1604	14856	77707
1605	14867	77707
1606	14877	77703
1607	14886	77689
1608	14896	77687
1609	14910	77702
1610	14926	77727
1611	14939	77735
1612	14948	77725
1613	14966	77763
1614	14976	77759
1615	14990	77773
1616	15003	77782
1617	15009	77757
1618	15016	77737
1619	15025	77722
1620	15034	77713
1621	15053	77753
1622	15060	77732
1623	15066	77708
1624	15075	77694
1625	15083	77683
1626	15093	77677
1627	15104	77673
1628	15112	77659
1629	15120	77643
1630	15133	77653
1631	15145	77660
1632	15155	77654
1633	15163	77635
1634	15171	77622
1635	15179	77603
1636	15188	77592
1637	15195	77570
1638	15204	77563
1639	15216	77567
1640	15229	77577
1641	15238	77565
1642	15246	77551
1643	15255	77537
1644	15262	77517
1645	15268	77492
1646	15274	77467
1647	15282	77449
1648	15288	77424
1649	15294	77398
1650	15301	77377
1651	15308	77356
1652	15314	77331
1653	15321	77309
1654	15331	77304
1655	15344	77317
1656	15351	77296
1657	15364	77302
1658	15370	77276
1659	15375	77250
1660	15428	77456
1661	15485	77688
1662	15491	77663
1663	15498	77640
1664	15504	77615
1665	15511	77592
1666	15523	77597
1667	15536	77609
1668	15548	77613
1669	15556	77595
1670	15565	77585
1671	15575	77578
